Sample,Location,Floor,Type,Indoor_Outdoor,Air_out,Material,Temperature,Humidness,RNA,Notes,DNA_RNA,Date,Group,Month,Season
230922_1A,SAb1 (By the Elevator),b1,Corridor,Indoor,no,plastic,22,0.92,No,Drop,DNA,230922,Underground,9,Autumn
230922_2A,SAb1 ,b1,Outdoor,Outdoor,yes,metal,22,0.92,No,Drop,DNA,230922,Outdoor,9,Autumn
230922_3A,SAb1 ,b1,Outdoor,Outdoor,no,plastic,22,0.92,No,Drop,DNA,230922,Outdoor,9,Autumn
230922_4A,SAb1 SA007,b1,Office,Indoor,yes,plastic,22,0.92,No,Drop,DNA,230922,Underground,9,Autumn
230922_5A,SBb1 SB022 (in front of toilet door),b1,Corridor,Indoor,no,plastic,22,0.92,No,Drop,DNA,230922,Underground,9,Autumn
230922_6A,SBb1 SB026,b1,Toilet (Male),Indoor,yes,plastic,22,0.92,No,Drop,DNA,230922,Underground,9,Autumn
230922_7A,SBb1 SB022,b1,Toilet (Female),Indoor,yes,plastic,22,0.92,No,Drop,DNA,230922,Underground,9,Autumn
230922_8A,SBb1 SB034 right side ,b1,Corridor,Indoor,no,metal,22,0.92,No,Drop,DNA,230922,Underground,9,Autumn
230922_9A,SBb1 SB038 left side,b1,Corridor,Indoor,yes,plastic,22,0.92,No,Drop,DNA,230922,Underground,9,Autumn
230922_10A,SBb1 SB024 left side,b1,Corridor,Indoor,no,metal,22,0.92,No,Drop,DNA,230922,Underground,9,Autumn
230922_11A,SCb1 Parking lot,b1,Parking lot,Indoor,no,metal,22,0.92,No,Drop,DNA,230922,Underground,9,Autumn
230922_12A,SCb1 Parking lot,b1,Parking lot,Indoor,no,metal,22,0.92,No,Drop,DNA,230922,Underground,9,Autumn
230922_13A,SCb1 Parking lot,b1,Parking lot,Indoor,no,metal,22,0.92,No,Drop,DNA,230922,Underground,9,Autumn
230922_14A,SC Elevator,Elevator,Elevator,Indoor,no,metal,22,0.92,No,Drop,DNA,230922,Elevator,9,Autumn
230922_15A,SDb1 Parking lot,b1,Parking lot,Indoor,no,metal,22,0.92,No,Drop,DNA,230922,Underground,9,Autumn
230922_16A,SDb1 Parking lot,b1,Parking lot,Indoor,no,metal,22,0.92,No,Drop,DNA,230922,Underground,9,Autumn
230922_17A,SDb1 Parking lot,b1,Parking lot,Indoor,no,metal,22,0.92,No,Drop,DNA,230922,Underground,9,Autumn
230922_18A,SDb1,b1,Corridor,Indoor,no,metal,22,0.92,No,Drop,DNA,230922,Underground,9,Autumn
230922_19A,SB273,2,Common room,Indoor,no,metal,22,0.92,No,Drop,DNA,230922,Aboveground,9,Autumn
230922_20A,SC169,2,Classroom,Indoor,no,metal,22,0.92,No,Drop,DNA,230922,Aboveground,9,Autumn
230922_21A,SA Elevator,Elevator,Elevator,Indoor,no,metal,22,0.92,No,Drop,DNA,230922,Elevator,9,Autumn
230922_22A,SA421,4,Office,Indoor,yes,metal,22,0.92,No,Drop,DNA,230922,Aboveground,9,Autumn
230928_1B,SAb1 SA084 left side ,b1,Corridor,Indoor,no,metal,24.8,0.682,No,,DNA,230928,Underground,9,Autumn
230928_2B,SAb1 SA074,b1,Toilet (Male),Indoor,no,metal,24.9,0.698,No,,DNA,230928,Underground,9,Autumn
230928_3B,SAb1 SA080,b1,Toilet (Female),Indoor,no,metal,25.1,0.706,No,,DNA,230928,Underground,9,Autumn
230928_4B,SAb1 Canteen,b1,Canteen,Indoor,no,metal,23.7,0.709,No,,DNA,230928,Underground,9,Autumn
230928_5B,SAb1 SA089 (front),b1,Corridor,Indoor,no,metal,23.9,0.719,No,,DNA,230928,Underground,9,Autumn
230928_6B,SAb1,b1,Corridor,Indoor,no,metal,24.4,0.718,No,,DNA,230928,Underground,9,Autumn
230928_7B,SBb1 (in front of Elevator),b1,Corridor,Indoor,no,metal,24.6,0.719,No,,DNA,230928,Underground,9,Autumn
230928_8B,SBb1,b1,Outdoor,Outdoor,no,metal,25.2,0.73,No,,DNA,230928,Outdoor,9,Autumn
230928_9B,SB Elevator,Elevator,Elevator,Indoor,no,metal,25.4,0.718,No,,DNA,230928,Elevator,9,Autumn
230928_10B,SCb1 Parking lot,b1,Parking lot,Indoor,no,metal,26.1,0.714,No,,DNA,230928,Underground,9,Autumn
230928_11B,SCb1 Parking lot,b1,Parking lot,Indoor,no,metal,26.3,0.713,No,,DNA,230928,Underground,9,Autumn
230928_12B,SCb1 Parking lot,b1,Parking lot,Indoor,no,metal,26.4,0.718,No,,DNA,230928,Underground,9,Autumn
230928_13B,SCb1 Parking lot,b1,Parking lot,Indoor,no,metal,26,0.718,No,,DNA,230928,Underground,9,Autumn
230928_14B,SCb1 Parking lot,b1,Parking lot,Indoor,no,metal,26.9,0.718,No,,DNA,230928,Underground,9,Autumn
230928_15B,SCb1 Parking lot,b1,Parking lot,Indoor,no,metal,26.5,0.712,No,,DNA,230928,Underground,9,Autumn
230928_16B,SD Elevator,Elevator,Elevator,Indoor,no,metal,27,0.712,No,,DNA,230928,Elevator,9,Autumn
230928_17B,SD254,2,Classroom,Indoor,yes,metal,24.9,0.664,No,,DNA,230928,Aboveground,9,Autumn
