Sample	Location	Floor	Type	Indoor.Outdoor	Air.out	Material	Temperature	Humidness	RNA	Notes	DNARNA	SampleName	Date	Month	Building	SampleName2	SampleSite	SampleSite2	SampleSite3	Season	SeasonBymonth	Group
230922_10A	SBb1 SB024 left side	b1	Corridor	Indoor	no	metal	22	92	No	Drop	DNA	230922_10A	230922	2309	SB	230922_10A-SBb1 SB024 left side	10A	2309-10A	09-10A	Autumn	Autumn	Underground
230922_11A	SCb1 Parking lot	b1	Parking lot	Indoor	no	metal	22	92	No	Drop	DNA	230922_11A	230922	2309	SC	230922_11A-SCb1 Parking lot	11A	2309-11A	09-11A	Autumn	Autumn	Underground
230922_12A	SCb1 Parking lot	b1	Parking lot	Indoor	no	metal	22	92	No	Drop	DNA	230922_12A	230922	2309	SC	230922_12A-SCb1 Parking lot	12A	2309-12A	09-12A	Autumn	Autumn	Underground
230922_13A	SCb1 Parking lot	b1	Parking lot	Indoor	no	metal	22	92	No	Drop	DNA	230922_13A	230922	2309	SC	230922_13A-SCb1 Parking lot	13A	2309-13A	09-13A	Autumn	Autumn	Underground
230922_14A	SC Elevator	Elevator	Elevator	Indoor	no	metal	22	92	No	Drop	DNA	230922_14A	230922	2309	SC	230922_14A-SC Elevator	14A	2309-14A	09-14A	Autumn	Autumn	Elevator
230922_15A	SDb1 Parking lot	b1	Parking lot	Indoor	no	metal	22	92	No	Drop	DNA	230922_15A	230922	2309	SD	230922_15A-SDb1 Parking lot	15A	2309-15A	09-15A	Autumn	Autumn	Underground
230922_16A	SDb1 Parking lot	b1	Parking lot	Indoor	no	metal	22	92	No	Drop	DNA	230922_16A	230922	2309	SD	230922_16A-SDb1 Parking lot	16A	2309-16A	09-16A	Autumn	Autumn	Underground
230922_17A	SDb1 Parking lot	b1	Parking lot	Indoor	no	metal	22	92	No	Drop	DNA	230922_17A	230922	2309	SD	230922_17A-SDb1 Parking lot	17A	2309-17A	09-17A	Autumn	Autumn	Underground
230922_18A	SDb1	b1	Corridor	Indoor	no	metal	22	92	No	Drop	DNA	230922_18A	230922	2309	SD	230922_18A-SDb1	18A	2309-18A	09-18A	Autumn	Autumn	Underground
230922_19A	SB273	2	Common room	Indoor	no	metal	22	92	No	Drop	DNA	230922_19A	230922	2309	SB	230922_19A-SB273	19A	2309-19A	09-19A	Autumn	Autumn	Aboveground
230922_1A	SAb1 (By the elevator)	b1	Corridor	Indoor	no	plastic	22	92	No	Drop	DNA	230922_1A	230922	2309	SA	230922_1A-SAb1 (By the elevator)	1A	2309-1A	09-1A	Autumn	Autumn	Underground
230922_20A	SC169	2	Classroom	Indoor	no	metal	22	92	No	Drop	DNA	230922_20A	230922	2309	SC	230922_20A-SC169	20A	2309-20A	09-20A	Autumn	Autumn	Aboveground
230922_21A	SA Elevator	Elevator	Elevator	Indoor	no	metal	22	92	No	Drop	DNA	230922_21A	230922	2309	SA	230922_21A-SA Elevator	21A	2309-21A	09-21A	Autumn	Autumn	Elevator
230922_22A	SA421	4	Office	Indoor	yes	metal	22	92	No	Drop	DNA	230922_22A	230922	2309	SA	230922_22A-SA421	22A	2309-22A	09-22A	Autumn	Autumn	Aboveground
230922_3A	SAb1	b1	Outdoor	Outdoor	no	plastic	22	92	No	Drop	DNA	230922_3A	230922	2309	SA	230922_3A-SAb1	3A	2309-3A	09-3A	Autumn	Autumn	Outdoor
230922_4A	SAb1 SA007	b1	Office	Indoor	yes	plastic	22	92	No	Drop	DNA	230922_4A	230922	2309	SA	230922_4A-SAb1 SA007	4A	2309-4A	09-4A	Autumn	Autumn	Underground
230922_5A	SBb1 SB022 (in front of toilet door)	b1	Corridor	Indoor	no	plastic	22	92	No	Drop	DNA	230922_5A	230922	2309	SB	230922_5A-SBb1 SB022 (in front of toilet door)	5A	2309-5A	09-5A	Autumn	Autumn	Underground
230922_6A	SBb1 SB026	b1	Toilet (Male)	Indoor	yes	plastic	22	92	No	Drop	DNA	230922_6A	230922	2309	SB	230922_6A-SBb1 SB026	6A	2309-6A	09-6A	Autumn	Autumn	Underground
230922_7A	SBb1 SB022	b1	Toilet (Female)	Indoor	yes	plastic	22	92	No	Drop	DNA	230922_7A	230922	2309	SB	230922_7A-SBb1 SB022	7A	2309-7A	09-7A	Autumn	Autumn	Underground
230922_8A	SBb1 SB034 right side	b1	Corridor	Indoor	no	metal	22	92	No	Drop	DNA	230922_8A	230922	2309	SB	230922_8A-SBb1 SB034 right side	8A	2309-8A	09-8A	Autumn	Autumn	Underground
230922_9A	SBb1 SB038 left side	b1	Corridor	Indoor	yes	plastic	22	92	No	Drop	DNA	230922_9A	230922	2309	SB	230922_9A-SBb1 SB038 left side	9A	2309-9A	09-9A	Autumn	Autumn	Underground
230928_10B	SCb1 Parking lot	b1	Parking lot	Indoor	no	metal	26.1	71.4	No		DNA	230928_10B	230928	2309	SC	230928_10B-SCb1 Parking lot	10B	2309-10B	09-10B	Autumn	Autumn	Underground
230928_11B	SCb1 Parking lot	b1	Parking lot	Indoor	no	metal	26.3	71.3	No		DNA	230928_11B	230928	2309	SC	230928_11B-SCb1 Parking lot	11B	2309-11B	09-11B	Autumn	Autumn	Underground
230928_12B	SCb1 Parking lot	b1	Parking lot	Indoor	no	metal	26.4	71.8	No		DNA	230928_12B	230928	2309	SC	230928_12B-SCb1 Parking lot	12B	2309-12B	09-12B	Autumn	Autumn	Underground
230928_13B	SCb1 Parking lot	b1	Parking lot	Indoor	no	metal	26	71.8	No		DNA	230928_13B	230928	2309	SD	230928_13B-SCb1 Parking lot	13B	2309-13B	09-13B	Autumn	Autumn	Underground
230928_14B	SCb1 Parking lot	b1	Parking lot	Indoor	no	metal	26.9	71.8	No		DNA	230928_14B	230928	2309	SD	230928_14B-SCb1 Parking lot	14B	2309-14B	09-14B	Autumn	Autumn	Underground
230928_15B	SCb1 Parking lot	b1	Parking lot	Indoor	no	metal	26.5	71.2	No		DNA	230928_15B	230928	2309	SD	230928_15B-SCb1 Parking lot	15B	2309-15B	09-15B	Autumn	Autumn	Underground
230928_16B	SD Elevator	Elevator	Elevator	Indoor	no	metal	27	71.2	No		DNA	230928_16B	230928	2309	SD	230928_16B-SD Elevator	16B	2309-16B	09-16B	Autumn	Autumn	Elevator
230928_17B	SD254	2	Classroom	Indoor	yes	metal	24.9	66.4	No		DNA	230928_17B	230928	2309	SD	230928_17B-SD254	17B	2309-17B	09-17B	Autumn	Autumn	Aboveground
230928_18B	SD234	2	Corridor	Indoor	no	plastic	25	67.1	No	Very black	DNA	230928_18B	230928	2309	SD	230928_18B-SD234	18B	2309-18B	09-18B	Autumn	Autumn	Aboveground
230928_19B	SC221	2	Common room	Indoor	yes	metal	26.7	69.3	No		DNA	230928_19B	230928	2309	SC	230928_19B-SC221	19B	2309-19B	09-19B	Autumn	Autumn	Aboveground
230928_1B	SAb1 SA084 left side	b1	Corridor	Indoor	no	metal	24.8	68.2	No		DNA	230928_1B	230928	2309	SA	230928_1B-SAb1 SA084 left side	1B	2309-1B	09-1B	Autumn	Autumn	Underground
230928_20B	SB123	2	Classroom	Indoor	no	metal	26.3	67.5	No		DNA	230928_20B	230928	2309	SB	230928_20B-SB123	20B	2309-20B	09-20B	Autumn	Autumn	Aboveground
230928_21B	SA521	5	Common room	Indoor	no	metal	26.6	65.7	No		DNA	230928_21B	230928	2309	SA	230928_21B-SA521	21B	2309-21B	09-21B	Autumn	Autumn	Aboveground
230928_22B	SA434	4	Laboratory	Indoor	yes	metal	25.7	63	No		DNA	230928_22B	230928	2309	SA	230928_22B-SA434	22B	2309-22B	09-22B	Autumn	Autumn	Aboveground
230928_2B	SAb1 SA074	b1	Toilet (Male)	Indoor	no	metal	24.9	69.8	No		DNA	230928_2B	230928	2309	SA	230928_2B-SAb1 SA074	2B	2309-2B	09-2B	Autumn	Autumn	Underground
230928_3B	SAb1 SA080	b1	Toilet (Female)	Indoor	no	metal	25.1	70.6	No		DNA	230928_3B	230928	2309	SA	230928_3B-SAb1 SA080	3B	2309-3B	09-3B	Autumn	Autumn	Underground
230928_4B	SAb1 Canteen	b1	Canteen	Indoor	no	metal	23.7	70.9	No		DNA	230928_4B	230928	2309	SA	230928_4B-SAb1 Canteen	4B	2309-4B	09-4B	Autumn	Autumn	Underground
230928_5B	SAb1 SA089 (front)	b1	Corridor	Indoor	no	metal	23.9	71.9	No		DNA	230928_5B	230928	2309	SA	230928_5B-SAb1 SA089 (front)	5B	2309-5B	09-5B	Autumn	Autumn	Underground
230928_6B	SAb1	b1	Corridor	Indoor	no	metal	24.4	71.8	No		DNA	230928_6B	230928	2309	SA	230928_6B-SAb1	6B	2309-6B	09-6B	Autumn	Autumn	Underground
230928_7B	SBb1 (in front of elevator)	b1	Corridor	Indoor	no	metal	24.6	71.9	No		DNA	230928_7B	230928	2309	SB	230928_7B-SBb1 (in front of elevator)	7B	2309-7B	09-7B	Autumn	Autumn	Underground
230928_8B	SBb1	b1	Outdoor	Outdoor	no	metal	25.2	73	No		DNA	230928_8B	230928	2309	SB	230928_8B-SBb1	8B	2309-8B	09-8B	Autumn	Autumn	Outdoor
230928_9B	SB Elevator	Elevator	Elevator	Indoor	no	metal	25.4	71.8	No		DNA	230928_9B	230928	2309	SB	230928_9B-SB Elevator	9B	2309-9B	09-9B	Autumn	Autumn	Elevator
